Symbol,Name,Last,Change,Change %,Volume,Time
3D SYSTEMS CORP.,5.93,+7.04%,5.72,6.22,5.72,"3,279,959"
3M COMPANY,103.28,+0.48%,103.05,103.63,102.40,"2,367,533"
A.K.A. BRANDS HOLDING,9.80,+3.27%,9.30,9.81,9.30,"6,781"
A.O. SMITH CORP.,78.01,+0.94%,77.18,78.02,76.63,"1,099,958"
A10 NETWORKS INC.,12.56,-0.24%,12.57,12.71,12.44,"718,055"
AAR CORP.,69.32,+0.00%,69.36,69.45,68.68,"276,633"
AARONS HOLDINGS CO.,10.46,+2.95%,10.16,10.51,10.02,"630,991"
ABBOTT LABORATORIES,104.05,-0.85%,105.18,105.21,103.96,"5,198,998"
ABBVIE INC.,147.97,+1.09%,147.64,148.38,145.20,"7,177,456"
ABERCROMBIE & FITCH CO.,77.94,+1.05%,76.96,78.16,76.82,"1,025,317"
ABM INDUSTRIES INC.,43.60,+1.70%,43.11,43.61,42.69,"386,562"
ABRDN GLOB. DYNAMIC DIVIDEND FUND,9.18,+0.55%,9.17,9.22,9.11,"50,732"
ABRDN GLOB. INFRA. INC. FUND,17.32,+0.46%,17.24,17.39,17.23,"56,182"
ABRDN GLOB. PREMIER PROPERTIES FUND,3.68,-0.27%,3.68,3.70,3.65,"420,516"
ABRDN HEALTHCARE INVESTORS SHARES OF BE,15.43,+0.39%,15.35,15.47,15.31,"179,113"
ABRDN HEALTHCARE OPPORTUNITIES FUND SHA,17.49,-0.29%,17.48,17.57,17.45,"126,508"
ABRDN INC. CREDIT STRATEGIES FUND,6.51,+0.31%,6.46,6.57,6.41,"387,337"
ABRDN INC. CREDIT STRATEGIES FUND 5.250,22.74,+1.93%,22.68,22.74,22.60,"2,092"
ABRDN LIFE SCIENCES INVESTORS SHARES OF,12.44,+0.08%,12.45,12.50,12.36,"77,970"
ABRDN TOTAL DYNAMIC DIVIDEND FUND,7.83,+0.26%,7.82,7.87,7.79,"446,994"
ABRDN WORLD HEALTHCARE FUND SHARES OF B,11.63,+0.17%,11.62,11.68,11.56,"104,831"
ACADIA REALTY TRUST,15.77,+0.25%,15.71,15.86,15.64,"563,957"
ACCEL ENTERTAINMENT INC.,9.99,+0.30%,9.96,10.00,9.90,"239,306"
ACCENTURE PLC CLASS A,335.10,-0.09%,336.56,336.56,334.22,"1,870,234"
